KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Stone Corral Anhydrite","1526","","ACO-1","12/28/2012"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Heebner","3784","","ACO-1","12/28/2012"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Lansing-Kansas City","3832","4144","ACO-1","02/24/2023"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Pawnee","4250","","ACO-1","12/28/2012"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Fort Scott","4332","","ACO-1","02/12/2022"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Cherokee","4351","","ACO-1","12/28/2012"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Mississippian Dolomite","4412","","ACO-1","12/28/2012"
"1001262519","15-135-24030","-99.6907308","38.3700136","2316","KB","Mississippian Osage","4424","","ACO-1","12/28/2012"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Cherokee Group","4303","","ACO-1/Driller's Log","10/27/2004"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Mississippian System","4370","","ACO-1/Driller's Log","03/29/2005"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Osagean Stage","4374","","ACO-1/Driller's Log","10/27/2004"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Stone Corral Formation","1485","1519","ACO-1/Driller's Log","10/27/2004"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Heebner Shale Member","3740","","ACO-1/Driller's Log","10/27/2004"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Pawnee Limestone Formation","4204","","ACO-1/Driller's Log","10/27/2004"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Fort Scott Limestone Formation","4284","","ACO-1/Driller's Log","10/27/2004"
"1001262523","15-135-24137","-99.6908615","38.3746505","2279","KB","Lansing - Kansas City Supergroup","3789","4099","ACO-1/Driller's Log","10/27/2004"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Cherokee Group","4330","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Fort Scott Limestone Formation","4310","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Heebner Shale Member","3762","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Lansing Group","3809","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Osagean Stage","4401","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Stone Corral Formation","1509","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Topeka Limestone Formation","3487","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Toronto Limestone Member","3778","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Kansas City Group","","4132","ACO-1","02/12/2022"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Marmaton Group","4153","","ACO-1","04/15/1999"
"1001263298","15-135-29344","-99.6795009","38.3658153","2288","KB","Pawnee Limestone Formation","4228","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Fort Scott Limestone Formation","4331","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Lansing Group","3836","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Osagean Stage","4419","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Warsaw Formation","4410","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Cherokee Group","4349","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Heebner Shale Member","3788","","ACO-1","04/15/1999"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Toronto Limestone Member","3806","","Drillers log","05/28/2003"
"1001263301","15-135-19004","-99.685303","38.376621","2311","KB","Kansas City Group","","4158","Drillers log","05/28/2003"
"1001263316","15-135-19017","-99.7116426","38.3692273","2270","KB","Cherokee Group","4311","","ACO-1","04/15/1999"
"1001263316","15-135-19017","-99.7116426","38.3692273","2270","KB","Fort Scott Limestone Formation","4288","","ACO-1","04/15/1999"
"1001263316","15-135-19017","-99.7116426","38.3692273","2270","KB","Heebner Shale Member","3732","","ACO-1","04/15/1999"
"1001263316","15-135-19017","-99.7116426","38.3692273","2270","KB","Lansing Group","3780","","ACO-1","04/15/1999"
"1001263316","15-135-19017","-99.7116426","38.3692273","2270","KB","Mississippian System","4378","","ACO-1","04/15/1999"
"1001263316","15-135-19017","-99.7116426","38.3692273","2270","KB","Stone Corral Formation","1463","","ACO-1","04/15/1999"
"1001263317","15-135-19016","-99.7069983","38.3692326","2282","KB","Cherokee Group","4311","","ACO-1","04/15/1999"
"1001263317","15-135-19016","-99.7069983","38.3692326","2282","KB","Heebner Shale Member","3742","","ACO-1","04/15/1999"
"1001263317","15-135-19016","-99.7069983","38.3692326","2282","KB","Lansing Group","3790","","ACO-1","04/15/1999"
"1001263317","15-135-19016","-99.7069983","38.3692326","2282","KB","Stone Corral Formation","1470","","ACO-1","04/15/1999"
"1001263317","15-135-19016","-99.7069983","38.3692326","2282","KB","Mississippian System","4382","","ACO-1","04/15/1999"
"1001263317","15-135-19016","-99.7069983","38.3692326","2282","KB","Fort Scott Limestone Formation","4290","","ACO-1","04/15/1999"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Cherokee Group","4306","","ACO-1","04/15/1999"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Fort Scott Limestone Formation","4288","","ACO-1","04/15/1999"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Heebner Shale Member","3741","","ACO-1","04/15/1999"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Kansas City Group","","4115","ACO-1","12/05/2021"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Lansing Group","3791","","ACO-1","04/15/1999"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Toronto Limestone Member","3759","","ACO-1","04/15/1999"
"1001263318","15-135-19011","-99.70252","38.37636","2275","KB","Mississippian System","4379","","ACO-1","04/15/1999"
"1001263319","15-135-19009","-99.6981488","38.3726622","2243","KB","Stone Corral Formation","1454","","ACO-1","04/15/1999"
"1001263319","15-135-19009","-99.6981488","38.3726622","2243","KB","Osagean Stage","4335","","ACO-1","04/15/1999"
"1001263319","15-135-19009","-99.6981488","38.3726622","2243","KB","Fort Scott Limestone Formation","4245","","ACO-1","04/15/1999"
"1001263319","15-135-19009","-99.6981488","38.3726622","2243","KB","Lansing Group","3754","","ACO-1","04/15/1999"
"1001263319","15-135-19009","-99.6981488","38.3726622","2243","KB","Heebner Shale Member","3704","","ACO-1","04/15/1999"
"1001263320","15-135-19014","-99.7023593","38.3656779","2268","KB","Fort Scott Limestone Formation","4277","","ACO-1","04/15/1999"
"1001263320","15-135-19014","-99.7023593","38.3656779","2268","KB","Heebner Shale Member","3732","","ACO-1","04/15/1999"
"1001263320","15-135-19014","-99.7023593","38.3656779","2268","KB","Lansing Group","3780","","ACO-1","04/15/1999"
"1001263320","15-135-19014","-99.7023593","38.3656779","2268","KB","Mississippian System","4370","","ACO-1","04/15/1999"
"1001263320","15-135-19014","-99.7023593","38.3656779","2268","KB","Pawnee Limestone Formation","4197","","ACO-1","06/09/2003"
"1001263320","15-135-19014","-99.7023593","38.3656779","2268","KB","Cherokee Group","4299","","ACO-1","06/09/2003"
"1001263321","15-135-19013","-99.702394","38.369304","2283","KB","Cherokee Group","4311","","ACO-1","04/15/1999"
"1001263321","15-135-19013","-99.702394","38.369304","2283","KB","Fort Scott Limestone Formation","4290","","ACO-1","04/15/1999"
"1001263321","15-135-19013","-99.702394","38.369304","2283","KB","Heebner Shale Member","3747","","ACO-1","04/15/1999"
"1001263321","15-135-19013","-99.702394","38.369304","2283","KB","Lansing Group","3796","","ACO-1","04/15/1999"
"1001263321","15-135-19013","-99.702394","38.369304","2283","KB","Osagean Stage","4381","","ACO-1","04/15/1999"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Cherokee Group","4316","","ACO-1","04/15/1999"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Toronto Limestone Member","3764","","ACO-1","04/15/1999"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Fort Scott Limestone Formation","4296","","ACO-1","04/15/1999"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Kansas City Group","","4121","ACO-1","12/05/2021"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Heebner Shale Member","3746","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Stone Corral Formation","1506","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Kansas City Group","","3959","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Pennsylvanian System","","4392","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Mississippian System","4392","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Drum Limestone Member","4017","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Paola Limestone Member","","3967","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Cement City Limestone Member","3988","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Lansing Group","3795","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Quivira Shale Member","","3995","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Winterset Limestone Member","4046","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Canville Limestone Member","","4051","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Bethany Falls Limestone Member","4081","","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263322","15-135-19015","-99.69783","38.36578","2283","KB","Block Limestone Member","","4024","STRATIGRAPHY.STRATMASTER 1421","06/18/2003"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Lansing Group","3799","","ACO-1","04/15/1999"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Mississippian System","4382","","ACO-1","04/15/1999"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Pawnee Limestone Formation","4210","","ACO-1","04/15/1999"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Toronto Limestone Member","3768","","ACO-1","04/15/1999"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Cherokee Group","4310","","ACO-1","04/15/1999"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Fort Scott Limestone Formation","4292","","ACO-1","04/15/1999"
"1001263325","15-135-19010","-99.7024698","38.3728738","2290","KB","Heebner Shale Member","3750","","ACO-1","04/15/1999"
"1001263423","15-135-71254","-99.6974138","38.3366056","2230","KB","Cherokee Group","4277","","ACO-1","04/15/1999"
"1001263423","15-135-71254","-99.6974138","38.3366056","2230","KB","Heebner Shale Member","3732","","ACO-1","04/15/1999"
"1001263423","15-135-71254","-99.6974138","38.3366056","2230","KB","Osagean Stage","4376","","ACO-1","04/15/1999"
"1001263423","15-135-71254","-99.6974138","38.3366056","2230","KB","Toronto Limestone Member","3752","","ACO-1","04/15/1999"
"1001263423","15-135-71254","-99.6974138","38.3366056","2230","KB","Lansing Group","3780","","ACO-1","04/15/1999"
"1001263423","15-135-71254","-99.6974138","38.3366056","2230","KB","Marmaton Group","4132","","ACO-1","04/15/1999"
"1001263426","15-135-19001","-99.7019818","38.3329957","2223","KB","Cherokee Group","4270","","ACO-1","04/15/1999"
"1001263426","15-135-19001","-99.7019818","38.3329957","2223","KB","Fort Scott Limestone Formation","4276","","ACO-1","04/15/1999"
"1001263426","15-135-19001","-99.7019818","38.3329957","2223","KB","Marmaton Group","4122","","ACO-1","04/15/1999"
"1001263426","15-135-19001","-99.7019818","38.3329957","2223","KB","Toronto Limestone Member","3740","","ACO-1","04/15/1999"
"1001263426","15-135-19001","-99.7019818","38.3329957","2223","KB","Osagean Stage","4366","","ACO-1","04/15/1999"
"1001263426","15-135-19001","-99.7019818","38.3329957","2223","KB","Heebner Shale Member","3722","","ACO-1","04/15/1999"
"1001263427","15-135-19008","-99.697357","38.3328639","2228","KB","Cherokee Group","4252","","ACO-1","04/15/1999"
"1001263427","15-135-19008","-99.697357","38.3328639","2228","KB","Kansas City Group","3929","","ACO-1","04/15/1999"
"1001263427","15-135-19008","-99.697357","38.3328639","2228","KB","Osagean Stage","4333","","ACO-1","04/15/1999"
"1001263427","15-135-19008","-99.697357","38.3328639","2228","KB","Stone Corral Formation","1448","","ACO-1","04/15/1999"
"1001263427","15-135-19008","-99.697357","38.3328639","2228","KB","Marmaton Group","4108","","ACO-1","04/15/1999"
"1001263428","15-135-19002","-99.697769","38.329609","2217","KB","Heebner Shale Member","3700","","ACO-1","04/15/1999"
"1001263428","15-135-19002","-99.697769","38.329609","2217","KB","Marmaton Group","4095","","ACO-1","04/15/1999"
"1001263428","15-135-19002","-99.697769","38.329609","2217","KB","Osagean Stage","4332","","ACO-1","04/15/1999"
"1001263428","15-135-19002","-99.697769","38.329609","2217","KB","Cherokee Group","4246","","ACO-1","04/15/1999"
"1001263428","15-135-19002","-99.697769","38.329609","2217","KB","Lansing Group","3749","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Cherokee Group","4328","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Heebner Shale Member","3756","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Marmaton Group","4303","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Mississippian System","4368","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Osagean Stage","4394","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Toronto Limestone Member","3776","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Kansas City Group","","4130","ACO-1","02/12/2022"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Stone Corral Formation","1490","","ACO-1","04/15/1999"
"1002936013","15-135-00272","-99.6782148","38.3557243","2263","KB","Lansing Group","3804","","ACO-1","04/15/1999"
"1002936027","15-135-00304","-99.6836653","38.3293309","2208","KB","Fort Scott Limestone Formation","4277","","ACO-1","04/15/1999"
"1002936027","15-135-00304","-99.6836653","38.3293309","2208","KB","Heebner Shale Member","3722","","ACO-1","04/15/1999"
"1002936027","15-135-00304","-99.6836653","38.3293309","2208","KB","Marmaton Group","4118","","ACO-1","04/15/1999"
"1002936027","15-135-00304","-99.6836653","38.3293309","2208","KB","Mississippian System","4370","","ACO-1","04/15/1999"
"1002936027","15-135-00304","-99.6836653","38.3293309","2208","KB","Lansing Group","3772","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Cherokee Group","4302","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Heebner Shale Member","3734","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Lansing Group","3783","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Mississippian System","4365","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Osagean Stage","4371","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Stone Corral Formation","1480","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Toronto Limestone Member","3750","","ACO-1","04/15/1999"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Kansas City Group","","4109","ACO-1","02/12/2022"
"1002936125","15-135-00675","-99.69356","38.37264","2275","KB","Fort Scott Limestone Formation","4284","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Cherokee Group","4340","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Fort Scott Limestone Formation","4323","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Heebner Shale Member","3776","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Kansas City Group","4142","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Lansing Group","3822","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Mississippian System","4410","","ACO-1","04/15/1999"
"1002936135","15-135-00684","-99.6749229","38.3694584","2295","KB","Toronto Limestone Member","3792","","ACO-1","04/15/1999"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Heebner Shale Member","3741","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Marmaton Group","4166","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Pawnee Limestone Formation","4217","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Fort Scott Limestone Formation","4295","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Cherokee Group","4307","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","MISSISSIPPIAN OSAGE","4390","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Lansing Group","3788","","ACO-1","06/09/2003"
"1002936164","15-135-24052","-99.7150507","38.370103","2272","KB","Kansas City Group","","4133","ACO-1","06/09/2003"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Anhydrite","1482","","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Heebner","3733","","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Lansing-Kansas City","3784","4124","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Marmaton","4148","","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Pawnee","4204","","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Fort Scott","4279","","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Cherokee Shale","4303","","Completion Form","12/05/2021"
"1002936165","15-135-24053","-99.7060569","38.3627341","2259","GL","Mississippian Osage","4374","","Completion Form","12/05/2021"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Heebner Shale Member","3731","","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Kansas City Group","","4121","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Pawnee Limestone Formation","4203","","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Fort Scott Limestone Formation","4282","","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Cherokee Group","4302","","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","MISSISSIPPIAN OSAGE","4392","","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Marmaton Group","4154","","ACO-1","06/09/2003"
"1002936166","15-135-24054","-99.7242877","38.3761228","2267","KB","Lansing Group","3778","","ACO-1","06/09/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Stone Corral Formation","1480","","ACO-1","05/27/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Heebner Shale Member","3730","","ACO-1","05/27/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Pawnee Limestone Formation","4192","","ACO-1","05/27/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Cherokee Group","4286","","ACO-1","05/27/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Lansing Group","3777","","ACO-1","05/27/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Mississippian Osage","4364","","ACO-1","05/27/2003"
"1002936169","15-135-24057","-99.6925417","38.3797224","2265","KB","Fort Scott Limestone Formation","4266","","ACO-1","05/27/2003"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Fort Scott Limestone Formation","4289","","ACO-1","04/15/1999"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Heebner Shale Member","3746","","ACO-1","04/15/1999"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Kansas City Group","","4117","ACO-1","02/12/2022"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Toronto Limestone Member","3762","","ACO-1","04/15/1999"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Osagean Stage","4378","","ACO-1","04/15/1999"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Lansing Group","3795","","ACO-1","04/15/1999"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Cherokee Group","4307","","ACO-1","04/15/1999"
"1002936176","15-135-30030","-99.6891591","38.3763531","2285","KB","Stone Corral Formation","1492","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Fort Scott Limestone Formation","4299","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Kansas City Group","","4126","ACO-1","02/12/2022"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Lansing Group","3802","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Stone Corral Formation","1495","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Toronto Limestone Member","3773","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Warsaw Formation","4382","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Osagean Stage","4384","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Heebner Shale Member","3756","","ACO-1","04/15/1999"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Pawnee Limestone Formation","4227","","Drillers log","05/28/2003"
"1002936179","15-135-30062","-99.685059","38.37318","2287","KB","Cherokee Group","4321","","Drillers log","05/28/2003"
"1002936200","15-135-30308","-99.7158084","38.3764684","2261","GL","Heebner Shale Member","3726","","ACO-1","04/15/1999"
"1002936200","15-135-30308","-99.7158084","38.3764684","2261","GL","Mississippian System","4381","","ACO-1","04/15/1999"
"1002936200","15-135-30308","-99.7158084","38.3764684","2261","GL","Lansing Group","3774","","ACO-1","04/15/1999"
"1002936200","15-135-30308","-99.7158084","38.3764684","2261","GL","Fort Scott Limestone Formation","4278","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Cherokee Group","4336","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Fort Scott Limestone Formation","4319","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Kansas City Group","","4145","ACO-1","02/12/2022"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Toronto Limestone Member","3793","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Warsaw Formation","4401","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Osagean Stage","4412","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Lansing Group","3822","","ACO-1","04/15/1999"
"1002936207","15-135-20019","-99.6795576","38.3733892","2294","KB","Heebner Shale Member","3775","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Cherokee Group","4364","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Heebner Shale Member","3802","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Lansing Group","3850","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Toronto Limestone Member","3820","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Osagean Stage","4438","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Fort Scott Limestone Formation","4348","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Warsaw Formation","4428","","ACO-1","04/15/1999"
"1002936244","15-135-30367","-99.6707148","38.373307","2314","KB","Kansas City Group","4174","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Cherokee Group","4317","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Fort Scott Limestone Formation","4295","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Heebner Shale Member","3738","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Kansas City Group","","4103","ACO-1","12/05/2021"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Toronto Limestone Member","3757","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Osagean Stage","4382","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Lansing Group","3786","","ACO-1","04/15/1999"
"1006097165","15-135-20160","-99.7148473","38.3703157","2271","KB","Warsaw Formation","4376","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Cherokee Group","4331","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Fort Scott Limestone Formation","4308","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Marmaton Group","4151","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Mississippian System","4392","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Stone Corral Formation","1472","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Toronto Limestone Member","3767","","ACO-1","04/15/1999"
"1006097233","15-135-20196","-99.7065249","38.3255379","2248","KB","Kansas City Group","4139","","ACO-1","04/15/1999"
